"","X","Year","Month","Day","pluie.demain.prediction"
"218",2825,2018,2,23,0
"219",2839,2018,3,9,1
"220",2847,2018,3,17,1
"221",2861,2018,3,31,1
"222",2863,2018,4,2,1
"223",2879,2018,4,18,0
"224",2889,2018,4,28,1
"225",2911,2018,5,20,0
"226",2913,2018,5,22,1
"227",2939,2018,6,17,1
